,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
,,,01,"　　　68020610201
　　　社會福利","45,938","41,748","36,860","4,190","一、本科目包括社會福利
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費562千元
　　業務費4,776千元
　　獎補助費40,600千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 4,190千元
　　增列 人事費443千元
　　增列 業務費6千元
　　增列 獎補助費3,741千元
　"
,022,,,"　00020620000
　臺中市清水區公所","210,621","219,857","226,228","-9,236",
,,01,,"　　33020620100
　　一般行政","98,956","104,295","96,936","-5,339",
,,,01,"　　　33020620101
　　　行政管理","98,956","104,295","96,936","-5,339","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費77,454千元
　　業務費21,040千元
　　獎補助費462千元
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 5,339千元
　　減列 人事費3,547千元
　　減列 業務費1,822千元
　　增列 獎補助費30千元
　"
,,02,,"　　33020620500
　　區公所業務","61,869","63,861","58,728","-1,992",
,,,01,"　　　33020620501
　　　民政業務","58,531","60,530","56,362","-1,999","一、本科目包括民政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費177千元
　　業務費43,358千元
　　獎補助費14,996千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 1,999千元
　　減列 人事費432千元
　　減列 業務費967千元
　　減列 獎補助費600千元
　"
,,,02,"　　　33020620502
　　　經建業務",669,669,578,-,"一、本科目包括經建業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費45千元
　　業務費584千元
　　獎補助費40千元
　"
,,,03,"　　　33020620503
　　　人文業務","2,669","2,662","1,788",7,"一、本科目包括人文業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費40千元
　　業務費2,549千元
　　獎補助費80千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 7千元
　　增列 業務費7千元
　"
,,03,,"　　33020627900
　　第一預備金",450,450,-,-,
,,,01,"　　　33020627901
　　　第一預備金",450,450,-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金450千元
　"
,,04,,"　　33020629000
　　一般建築及設備","8,282","10,373","35,209","-2,091",
,,,01,"　　　33020629001
　　　一般建築及設
　　　備","8,282","10,373","35,209","-2,091","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資8,282千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 2,091千元
　　減列 設備及投資2,091千元
　"
,,05,,"　　58020621000
　　農林管理業務","1,981","2,037","1,751",-56,
,,,01,"　　　58020621001
　　　農林管理業務","1,981","2,037","1,751",-56,"一、本科目包括農林管理業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費577千元
　　業務費1,404千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 56千元
　　減列 人事費57千元
　　增列 業務費1千元
　"
,,06,,"　　68020620200
　　社政業務","39,083","38,841","33,604",242,
,,,01,"　　　68020620201
　　　社會福利","39,083","38,841","33,604",242,"一、本科目包括社會福利
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費611千元
　　業務費8,577千元
　　獎補助費29,895千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 242千元
　　增列 人事費442千元
　　增列 業務費107千元
　　減列 獎補助費307千元
　"
,023,,,"　00020630000
　臺中市沙鹿區公所","173,591","180,054","156,049","-6,463",
,,01,,"　　33020630100
　　一般行政","79,949","86,635","75,706","-6,686",
,,,01,"　　　33020630101
　　　行政管理","79,949","86,635","75,706","-6,686","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費58,013千元
　　業務費21,630千元
　　獎補助費306千元
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 6,686千元
　　減列 人事費4,340千元
　　減列 業務費2,304千元
　　減列 獎補助費42千元
　"
,,02,,"　　33020630500
　　區公所業務","46,652","48,011","41,042","-1,359",
,,,01,"　　　33020630501
　　　民政業務","44,393","45,829","39,437","-1,436","一、本科目包括民政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費327千元
　　業務費33,342千元
　　獎補助費10,724千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 1,436千元
　　減列 人事費1,465千元
　　增列 業務費89千元
　　減列 獎補助費60千元
　"
,,,02,"　　　33020630502
　　　經建業務",814,737,411,77,"一、本科目包括經建業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費104千元
　　業務費710千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 77千元
　　減列 人事費1千元
　　增列 業務費78千元
　"
,,,03,"　　　33020630503
　　　人文業務","1,445","1,445","1,194",-,"一、本科目包括人文業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費30千元
　　業務費1,335千元
　　獎補助費80千元
　"
,,03,,"　　33020637900
　　第一預備金",350,350,-,-,
,,,01,"　　　33020637901
　　　第一預備金",350,350,-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金350千元
　"
,,04,,"　　33020639000
　　一般建築及設備","12,539","11,705","6,058",834,
,,,01,"　　　33020639001
　　　一般建築及設
　　　備","12,539","11,705","6,058",834,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資12,539千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 834千元
　　增列 設備及投資834千元
　"
,,05,,"　　58020631000
　　農林管理業務",435,577,323,-142,
,,,01,"　　　58020631001
　　　農林管理業務",435,577,323,-142,"一、本科目包括農林管理業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費163千元
　　業務費272千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 142千元
　　減列 人事費2千元
　　減列 業務費140千元
　"
,,06,,"　　68020630200
　　社政業務","33,666","32,776","32,920",890,
,,,01,"　　　68020630201
　　　社會福利","33,666","32,776","32,920",890,"一、本科目包括社會福利
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費679千元
　　業務費2,288千元
　　獎補助費30,699千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 890千元
　　增列 人事費448千元
　　減列 業務費60千元
　　增列 獎補助費502千元
　"
,024,,,"　00020640000
　臺中市大甲區公所","180,583","174,809","160,113","5,774",
,,01,,"　　33020640100
　　一般行政","89,796","96,839","82,809","-7,043",
,,,01,"　　　33020640101
　　　行政管理","89,796","96,839","82,809","-7,043","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費72,082千元
　　業務費17,234千元
　　獎補助費480千元
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 7,043千元
　　減列 人事費6,634千元
　　減列 業務費361千元
　　減列 獎補助費48千元
　"
,,02,,"　　33020640500
　　區公所業務","56,475","50,824","49,055","5,651",
,,,01,"　　　33020640501
　　　民政業務","45,727","44,795","43,623",932,"一、本科目包括民政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費130千元
　　業務費35,997千元
　　獎補助費9,600千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 932千元
　　增列 業務費956千元
　　減列 獎補助費24千元
　"
,,,02,"　　　33020640502
　　　經建業務","2,696",908,865,"1,788","一、本科目包括經建業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費39千元
　　業務費908千元
　　獎補助費1,749千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1,788千元
　　增列 人事費25千元
　　增列 業務費359千元
　　增列 獎補助費1,404千元
　"
,,,03,"　　　33020640503
　　　人文業務","8,052","5,121","4,567","2,931","一、本科目包括人文業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費84千元
　　業務費7,888千元
　　獎補助費80千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 2,931千元
　　增列 人事費4千元
　　增列 業務費2,927千元
　"
,,03,,"　　33020647900
　　第一預備金",400,400,-,-,
,,,01,"　　　33020647901
　　　第一預備金",400,400,-,-,"一、本科目包括第一預備金
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　預備金400千元
　"
,,04,,"　　33020649000
　　一般建築及設備","11,277","4,717","7,259","6,560",
,,,01,"　　　33020649001
　　　一般建築及設
　　　備","11,277","4,717","7,259","6,560","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資11,277千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 6,560千元
　　增列 設備及投資6,560千元
　"
,,05,,"　　58020641000
　　農林管理業務",275,659,422,-384,
,,,01,"　　　58020641001
　　　農林管理業務",275,659,422,-384,"一、本科目包括農林管理業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費14千元
　　業務費261千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 384千元
　　減列 人事費25千元
　　減列 業務費359千元
　"
,,06,,"　　68020640200
　　社政業務","22,360","21,370","20,568",990,
,,,01,"　　　68020640201
　　　社會福利","22,360","21,370","20,568",990,"一、本科目包括社會福利
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費456千元
　　業務費2,256千元
　　獎補助費19,648千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 990千元
　　增列 人事費435千元
　　減列 業務費35千元
　　增列 獎補助費590千元
　"
,025,,,"　00020650000
　臺中市東勢區公所","148,419","167,040","153,026","-18,621",
,,01,,"　　33020650100
　　一般行政","76,763","82,573","72,561","-5,810",
,,,01,"　　　33020650101
　　　行政管理","76,763","82,573","72,561","-5,810","一、本科目包括行政管理
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　人事費60,866千元
　　業務費15,447千元
　　獎補助費450千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 5,810千元
　　減列 人事費4,086千元
　　減列 業務費1,724千元
　"
,,02,,"　　33020650500
　　區公所業務","38,146","40,373","36,785","-2,227",
,,,01,"　　　33020650501
　　　民政業務","37,425","39,651","36,272","-2,226","一、本科目包括民政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費786千元
　　業務費27,447千元
　　獎補助費9,192千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 2,226千元
　　減列 人事費800千元
　　減列 業務費1,426千元
　"
,,,02,"　　　33020650502
　　　經建業務",196,196,201,-,"一、本科目包括經建業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費20千元
　　業務費176千元
　"
,,,03,"　　　33020650503
　　　人文業務",525,526,312,-1,"一、本科目包括人文業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費50千元
　　業務費395千元
　　獎補助費80千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 1千元
　　減列 業務費1千元
　"
,,03,,"　　33020657900
　　第一預備金",350,350,-,-,
,,,01,"　　　33020657901
　　　第一預備金",350,350,-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金350千元
　"
,,04,,"　　33020659000
　　一般建築及設備","8,312","18,042","19,471","-9,730",
　,　,　,　,　,　,　,　,　,　
,,,01,"　　　33020659001
　　　一般建築及設
　　　備","8,312","18,042","19,471","-9,730","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資8,312千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 9,730千元
　　減列 設備及投資9,730千元
　"
,,05,,"　　58020651000
　　農林管理業務",592,592,"1,205",-,
,,,01,"　　　58020651001
　　　農林管理業務",592,592,"1,205",-,"一、本科目包括農林管理業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費150千元
　　業務費442千元
　"
,,06,,"　　68020650200
　　社政業務","24,256","25,110","23,004",-854,
,,,01,"　　　68020650201
　　　社會福利","24,256","25,110","23,004",-854,"一、本科目包括社會福利
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費597千元
　　業務費2,519千元
　　獎補助費21,140千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 854千元
　　增列 人事費300千元
　　減列 業務費2千元
　　減列 獎補助費1,152千元
　"
,026,,,"　00020660000
　臺中市梧棲區公所","162,201","161,760","148,086",441,
,,01,,"　　33020660100
　　一般行政","65,626","69,711","63,108","-4,085",
,,,01,"　　　33020660101
　　　行政管理","65,626","69,711","63,108","-4,085","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費47,288千元
　　業務費18,104千元
　　獎補助費234千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 4,085千元
　　減列 人事費1,294千元
　　減列 業務費2,791千元
　"
,,02,,"　　33020660500
　　區公所業務","35,766","35,505","31,757",261,
,,,01,"　　　33020660501
　　　民政業務","32,604","32,643","29,384",-39,"一、本科目包括民政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費179千元
　　業務費21,513千元
　　獎補助費10,912千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 39千元
　　減列 人事費96千元
　　減列 業務費318千元
　　增列 獎補助費375千元
　"
,,,02,"　　　33020660502
　　　經建業務",705,705,542,-,"一、本科目包括經建業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費20千元
　　業務費685千元
　"
,,,03,"　　　33020660503
　　　人文業務","2,457","2,157","1,831",300,"一、本科目包括人文業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費20千元
　　業務費2,357千元
　　獎補助費80千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 300千元
　　增列 業務費300千元
　"
,,03,,"　　33020667900
　　第一預備金",250,250,-,-,
,,,01,"　　　33020667901
　　　第一預備金",250,250,-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金250千元
　"
,,04,,"　　33020669000
　　一般建築及設備","8,526","5,190","3,178","3,336",
,,,01,"　　　33020669001
　　　一般建築及設
　　　備","8,526","5,190","3,178","3,336","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資8,526千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 3,336千元
　　增列 設備及投資3,336千元
　"
,,05,,"　　58020661000
　　農林管理業務",70,70,70,-,
,,,01,"　　　58020661001
　　　農林管理業務",70,70,70,-,"一、本科目包括農林管理業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費70千元
　"
,,06,,"　　68020660200
　　社政業務","51,963","51,034","49,973",929,
,,,01,"　　　68020660201
　　　社會福利","51,963","51,034","49,973",929,"一、本科目包括社會福利
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費467千元
　　業務費1,308千元
　　獎補助費50,188千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 929千元
　　增列 人事費282千元
　　增列 業務費17千元
　　增列 獎補助費630千元
　"
,027,,,"　00020670000
　臺中市烏日區公所","198,270","223,141","220,856","-24,871",
,,01,,"　　33020670100
　　一般行政","70,678","77,572","68,686","-6,894",
,,,01,"　　　33020670101
　　　行政管理","70,678","77,572","68,686","-6,894","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費57,727千元
　　業務費12,519千元
　　獎補助費432千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 6,894千元
　　減列 人事費3,492千元
　　減列 業務費3,402千元
　"
,,02,,"　　33020670500
　　區公所業務","63,149","73,819","70,668","-10,670",
,,,01,"　　　33020670501
　　　民政業務","56,847","70,867","68,293","-14,020","一、本科目包括民政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費122千元
　　業務費47,837千元
　　獎補助費8,888千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 14,020千元
　　減列 人事費441千元
　　減列 業務費13,079千元
　　減列 獎補助費500千元
　"
,,,02,"　　　33020670502
　　　經建業務","4,458","1,121",801,"3,337","一、本科目包括經建業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費43千元
　　業務費625千元
　　獎補助費3,790千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 3,337千元
　　增列 業務費33千元
　　增列 獎補助費3,304千元
　"
,,,03,"　　　33020670503
　　　人文業務","1,844","1,831","1,574",13,"一、本科目包括人文業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費48千元
　　業務費1,716千元
　　獎補助費80千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 13千元
　　增列 業務費13千元
　"
,,03,,"　　33020677900
　　第一預備金",250,250,-,-,
,,,01,"　　　33020677901
　　　第一預備金",250,250,-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金250千元
　"
,,04,,"　　33020679000
　　一般建築及設備","27,560","37,190","52,957","-9,630",
,,,01,"　　　33020679001
　　　一般建築及設
　　　備","27,560","37,190","52,957","-9,630","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資27,560千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 9,630千元
　　減列 設備及投資9,630千元
　"
,,05,,"　　58020671000
　　農林管理業務",117,117,94,-,
,,,01,"　　　58020671001
　　　農林管理業務",117,117,94,-,"一、本科目包括農林管理業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費13千元
　　業務費104千元
　"
　,　,　,　,　,　,　,　,　,　
,,06,,"　　68020670200
　　社政業務","36,516","34,193","28,451","2,323",
,,,01,"　　　68020670201
　　　社會福利","36,516","34,193","28,451","2,323","一、本科目包括社會福利
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費582千元
　　業務費1,626千元
　　獎補助費34,308千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 2,323千元
　　增列 人事費450千元
　　減列 業務費1千元
　　增列 獎補助費1,874千元
　"
,028,,,"　00020680000
　臺中市和平區公所",-,-,"128,278",-,
,,01,,"　　31020680100
　　一般行政",-,-,67,-,
,,,01,"　　　31020680101
　　　行政管理",-,-,67,-,本計畫僅有前年度決算數　
,,02,,"　　31020680200
　　議事業務",-,-,148,-,
,,,01,"　　　31020680203
　　　法制研究",-,-,148,-,本計畫僅有前年度決算數　
,,03,,"　　33020680100
　　一般行政",-,-,"49,947",-,
,,,01,"　　　33020680101
　　　行政管理",-,-,"49,947",-,本計畫僅有前年度決算數　
,,04,,"　　33020680500
　　區公所業務",-,-,"29,431",-,
,,,01,"　　　33020680501
　　　民政業務",-,-,"16,257",-,本計畫僅有前年度決算數　
,,,02,"　　　33020680502
　　　經建業務",-,-,"3,713",-,本計畫僅有前年度決算數　
,,,03,"　　　33020680504
　　　土地管理業務",-,-,"9,461",-,本計畫僅有前年度決算數　
,,05,,"　　33020689000
　　一般建築及設備",-,-,"37,889",-,
,,,01,"　　　33020689001
　　　一般建築及設
　　　備",-,-,"37,889",-,本計畫僅有前年度決算數　
,,06,,"　　58020681000
　　農林管理業務",-,-,85,-,
,,,01,"　　　58020681001
　　　農林管理業務",-,-,85,-,本計畫僅有前年度決算數　
,,07,,"　　68020680200
　　社政業務",-,-,"10,711",-,
,,,01,"　　　68020680201
　　　社會福利",-,-,"10,711",-,本計畫僅有前年度決算數　
　,　,　,　,　,　,　,　,　,　
,029,,,"　00020690000
　臺中市神岡區公所","137,700","166,931","139,662","-29,231",
,,01,,"　　33020690100
　　一般行政","59,377","60,657","55,911","-1,280",
,,,01,"　　　33020690101
　　　行政管理","59,377","60,657","55,911","-1,280","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費50,616千元
　　業務費8,461千元
　　獎補助費300千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 1,280千元
　　減列 人事費398千元
　　減列 業務費882千元
　"
,,02,,"　　33020690500
　　區公所業務","41,852","51,790","47,080","-9,938",
,,,01,"　　　33020690501
　　　民政業務","39,726","48,835","45,112","-9,109","一、本科目包括民政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費255千元
　　業務費31,433千元
　　獎補助費8,038千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 9,109千元
　　減列 人事費1,436千元
　　減列 業務費7,669千元
　　減列 獎補助費4千元
　"
,,,02,"　　　33020690502
　　　經建業務","1,065","1,449","1,143",-384,"一、本科目包括經建業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費513千元
　　業務費552千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 384千元
　　增列 人事費1千元
　　減列 業務費385千元
　"
,,,03,"　　　33020690503
　　　人文業務","1,061","1,506",825,-445,"一、本科目包括人文業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費16千元
　　業務費965千元
　　獎補助費80千元
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 445千元
　　減列 業務費445千元
　"
,,03,,"　　33020697900
　　第一預備金",350,350,-,-,
,,,01,"　　　33020697901
　　　第一預備金",350,350,-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金350千元
　"
,,04,,"　　33020699000
　　一般建築及設備","15,662","35,808","18,863","-20,146",
,,,01,"　　　33020699001
　　　一般建築及設
　　　備","15,662","35,808","18,863","-20,146","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資15,662千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 20,146千元
　　減列 設備及投資20,146千元
　"
,,05,,"　　58020691000
　　農林管理業務","1,727","1,725","1,668",2,
,,,01,"　　　58020691001
　　　農林管理業務","1,727","1,725","1,668",2,"一、本科目包括農林管理業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費1,021千元
　　業務費706千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 2千元
　　增列 人事費2千元
　"
,,06,,"　　68020690200
　　社政業務","18,732","16,601","16,140","2,131",
,,,01,"　　　68020690201
　　　社會福利","18,732","16,601","16,140","2,131","一、本科目包括社會福利
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費25千元
　　業務費3,311千元
　　獎補助費15,396千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 2,131千元
　　增列 業務費453千元
　　增列 獎補助費1,678千元
　"
,030,,,"　00020700000
　臺中市大肚區公所","164,882","163,622","146,298","1,260",
,,01,,"　　33020700100
　　一般行政","69,532","73,441","65,784","-3,909",
,,,01,"　　　33020700101
　　　行政管理","69,532","73,441","65,784","-3,909","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費51,339千元
　　業務費17,893千元
　　獎補助費300千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 3,909千元
　　減列 人事費1,359千元
　　減列 業務費2,454千元
　　減列 獎補助費96千元
　"
,,02,,"　　33020700500
　　區公所業務","49,325","42,942","37,526","6,383",
,,,01,"　　　33020700501
　　　民政業務","42,660","40,177","35,568","2,483","一、本科目包括民政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費96千元
　　業務費26,624千元
　　獎補助費15,940千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 2,483千元
　　增列 業務費2,533千元
　　減列 獎補助費50千元
　"
,,,02,"　　　33020700502
　　　經建業務","4,920",420,454,"4,500","一、本科目包括經建業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費6千元
　　業務費334千元
　　獎補助費4,580千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 4,500千元
　　減列 業務費80千元
　　增列 獎補助費4,580千元
　"
,,,03,"　　　33020700503
　　　人文業務","1,745","2,345","1,504",-600,"一、本科目包括人文業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費12千元
　　業務費1,653千元
　　獎補助費80千元
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 600千元
　　減列 業務費600千元
　"
,,03,,"　　33020707900
　　第一預備金",250,250,-,-,
,,,01,"　　　33020707901
　　　第一預備金",250,250,-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金250千元
　"
,,04,,"　　33020709000
　　一般建築及設備","13,056","15,987","15,399","-2,931",
,,,01,"　　　33020709001
　　　一般建築及設
　　　備","13,056","15,987","15,399","-2,931","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資13,056千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 2,931千元
　　減列 設備及投資2,931千元
　"
,,05,,"　　58020701000
　　農林管理業務","1,249","1,249","1,122",-,
,,,01,"　　　58020701001
　　　農林管理業務","1,249","1,249","1,122",-,"一、本科目包括農林管理業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費6千元
　　業務費1,243千元
　"
,,06,,"　　68020700200
　　社政業務","31,470","29,753","26,467","1,717",
,,,01,"　　　68020700201
　　　社會福利","31,470","29,753","26,467","1,717","一、本科目包括社會福利
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費386千元
　　業務費14,525千元
　　獎補助費16,559千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1,717千元
　　增列 人事費300千元
　　減列 業務費1千元
　　增列 獎補助費1,418千元
　"
,031,,,"　00020710000
　臺中市大雅區公所","145,289","155,643","152,632","-10,354",
,,01,,"　　33020710100
　　一般行政","71,599","73,456","66,427","-1,857",
　,　,　,　,　,　,　,　,　,　
,,,01,"　　　33020710101
　　　行政管理","71,599","73,456","66,427","-1,857","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費56,060千元
　　業務費15,203千元
　　獎補助費336千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 1,857千元
　　減列 人事費501千元
　　減列 業務費1,356千元
　"
,,02,,"　　33020710500
　　區公所業務","41,778","45,079","37,415","-3,301",
,,,01,"　　　33020710501
　　　民政業務","38,748","42,035","34,772","-3,287","一、本科目包括民政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費743千元
　　業務費29,389千元
　　獎補助費8,616千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 3,287千元
　　減列 人事費1,816千元
　　減列 業務費1,471千元
　"
,,,02,"　　　33020710502
　　　經建業務",541,555,331,-14,"一、本科目包括經建業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費110千元
　　業務費431千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 14千元
　　減列 業務費14千元
　"
,,,03,"　　　33020710503
　　　人文業務","2,489","2,489","2,312",-,"一、本科目包括人文業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費55千元
　　業務費2,354千元
　　獎補助費80千元
　"
